"block","plot","treatment","resp"
1,"x1","b",26.7354519150482
1,"x1","b",31.6448336006504
1,"x1","b",24.653963913405
1,"x1","b",25.7237582004674
1,"x1","b",48.3078171125617
1,"x1","b",21.8402254934498
1,"x1","b",35.3967236905142
1,"x1","b",15.1071298326368
1,"x1","b",19.4922539994321
1,"x1","b",29.539697971376
1,"y1","a",25.144278098676
1,"y1","a",24.1481558320491
1,"y1","a",25.417165399189
1,"y1","a",16.2677356387936
1,"y1","a",8.99608768579004
1,"y1","a",19.0306526824949
1,"y1","a",8.90998936841264
1,"y1","a",5.7674259056687
1,"y1","a",5.58534398489916
1,"y1","a",11.8190084519486
1,"z1","c",54.4045476876023
1,"z1","c",51.7248147937204
1,"z1","c",58.6659296024652
1,"z1","c",62.6882049385054
1,"z1","c",55.3920494782795
1,"z1","c",46.1965039827349
1,"z1","c",43.9817097478688
1,"z1","c",62.1596551011751
1,"z1","c",64.9259607867333
1,"z1","c",48.4106537340496
2,"x2","b",17.7744431736583
2,"x2","b",20.9551866337642
2,"x2","b",18.6489047097231
2,"x2","b",35.6711650391737
2,"x2","b",27.3191234298927
2,"x2","b",47.5296198005171
2,"x2","b",14.1726656773206
2,"x2","b",30.8049613412226
2,"x2","b",35.0074024004042
2,"x2","b",38.2047464706776
2,"y2","c",54.5270204950259
2,"y2","c",72.7756078672954
2,"y2","c",60.8521762509372
2,"y2","c",62.9224341858031
2,"y2","c",80.4087358537119
2,"y2","c",57.4558564150102
2,"y2","c",67.2873927819773
2,"y2","c",45.7727545101353
2,"y2","c",69.479781085896
2,"y2","c",64.3185077842326
2,"z2","a",17.3403792562023
2,"z2","a",6.07665381563089
2,"z2","a",4.8067451850188
2,"z2","a",14.479317156422
2,"z2","a",8.75988051186729
2,"z2","a",9.31234640411691
2,"z2","a",25.4500764967656
2,"z2","a",21.6481689973544
2,"z2","a",19.2310144782694
2,"z2","a",25.2537544327825
3,"x3","a",31.0137705482288
3,"x3","a",19.5511741417931
3,"x3","a",16.4465230259395
3,"x3","a",24.9458438932301
3,"x3","a",13.6047887240111
3,"x3","a",28.5067917507221
3,"x3","a",34.9570337718714
3,"x3","a",28.6067137231581
3,"x3","a",29.4863785263711
3,"x3","a",33.3006401581234
3,"y3","b",24.1129654959601
3,"y3","b",37.4019233027755
3,"y3","b",25.2735334542263
3,"y3","b",37.0343424552003
3,"y3","b",38.9219104441084
3,"y3","b",40.2147072300061
3,"y3","b",48.2988395366433
3,"y3","b",36.6600285277392
3,"y3","b",40.4748722785148
3,"y3","b",38.3397128996837
3,"z3","c",62.230750125848
3,"z3","c",66.0759177485502
3,"z3","c",64.8609391510799
3,"z3","c",56.3109038394161
3,"z3","c",62.355440867002
3,"z3","c",82.0111150365936
3,"z3","c",78.294003427671
3,"z3","c",69.5240682428069
3,"z3","c",70.9507622595515
3,"z3","c",57.970444520786
