"Station","Date","Air min","Air max","Degree-days","Accumulated DD","*","*"
TRNQULTY.A,01/01/2018,35,66,2.89,2.89,"",""
TRNQULTY.A,01/02/2018,38,60,1.04,3.93,"",""
TRNQULTY.A,01/03/2018,36,59,0.72,4.65,"",""
TRNQULTY.A,01/04/2018,44,71,5.62,10.27,"",""
TRNQULTY.A,01/05/2018,45,70,5.31,15.58,"1","1"
TRNQULTY.A,01/06/2018,48,60,1.44,17.02,"",""
TRNQULTY.A,01/07/2018,48,67,4.38,21.40,"",""
TRNQULTY.A,01/08/2018,51,58,0.88,22.27,"",""
TRNQULTY.A,01/09/2018,52,57,0.56,22.83,"",""
TRNQULTY.A,01/10/2018,48,60,1.44,24.27,"",""
TRNQULTY.A,01/11/2018,44,61,1.57,25.84,"",""
TRNQULTY.A,01/12/2018,39,63,2.03,27.88,"",""
TRNQULTY.A,01/13/2018,46,52,0.00,27.88,"",""
TRNQULTY.A,01/14/2018,43,54,0.00,27.88,"",""
TRNQULTY.A,01/15/2018,40,52,0.00,27.88,"",""
TRNQULTY.A,01/16/2018,39,55,0.00,27.88,"",""
TRNQULTY.A,01/17/2018,47,57,0.39,28.27,"",""
TRNQULTY.A,01/18/2018,43,57,0.33,28.59,"",""
TRNQULTY.A,01/19/2018,40,59,0.80,29.39,"",""
TRNQULTY.A,01/20/2018,35,59,0.71,30.09,"",""
TRNQULTY.A,01/21/2018,28,60,0.85,30.95,"",""
TRNQULTY.A,01/22/2018,35,62,1.56,32.50,"",""
TRNQULTY.A,01/23/2018,34,55,0.00,32.50,"",""
TRNQULTY.A,01/24/2018,35,63,1.87,34.37,"",""
TRNQULTY.A,01/25/2018,39,61,1.37,35.74,"",""
TRNQULTY.A,01/26/2018,36,60,0.99,36.73,"",""
TRNQULTY.A,01/27/2018,36,62,1.59,38.32,"",""
TRNQULTY.A,01/28/2018,33,66,2.80,41.12,"",""
TRNQULTY.A,01/29/2018,33,64,2.12,43.24,"",""
TRNQULTY.A,01/30/2018,41,71,5.29,48.53,"",""
TRNQULTY.A,01/31/2018,37,70,4.52,53.05,"",""
TRNQULTY.A,02/01/2018,38,72,5.41,58.46,"",""
TRNQULTY.A,02/02/2018,38,71,5.00,63.47,"",""
TRNQULTY.A,02/03/2018,37,76,6.98,70.44,"",""
TRNQULTY.A,02/04/2018,39,77,7.62,78.07,"",""
TRNQULTY.A,02/05/2018,39,77,7.62,85.69,"",""
TRNQULTY.A,02/06/2018,41,73,6.13,91.82,"",""
TRNQULTY.A,02/07/2018,35,79,8.03,99.85,"",""
TRNQULTY.A,02/08/2018,39,78,8.06,107.91,"",""
TRNQULTY.A,02/09/2018,38,79,8.37,116.28,"",""
TRNQULTY.A,02/10/2018,40,76,7.31,123.59,"",""
TRNQULTY.A,02/11/2018,35,69,4.00,127.59,"",""
TRNQULTY.A,02/12/2018,33,60,0.93,128.52,"",""
TRNQULTY.A,02/13/2018,32,65,2.42,130.93,"",""
TRNQULTY.A,02/14/2018,41,70,4.87,135.80,"",""
TRNQULTY.A,02/15/2018,35,67,3.25,139.05,"",""
TRNQULTY.A,02/16/2018,29,69,3.65,142.71,"",""
TRNQULTY.A,02/17/2018,30,73,5.18,147.89,"",""
TRNQULTY.A,02/18/2018,32,68,3.45,151.35,"",""
TRNQULTY.A,02/19/2018,28,55,0.00,151.35,"",""
TRNQULTY.A,02/20/2018,24,57,0.21,151.56,"",""
