EndDate,Attractant,Condition,Site,Variety,Position,WilsonID,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,Sex
5/23/2019,Peterson,Control,DB1,Tena,55,,0,18.91,1.99,2.76,47.82,23.56,4.96,0,0,0,
5/23/2019,Peterson,Control,DB1,Tena,54,,0,20.38,5.01,2.63,46.68,22.58,2.72,0,0,0,
5/23/2019,Peterson,Control,DB1,Tena,51,,0.71,24.19,6.43,2.7,50.18,10.91,4.88,0,0,0,
5/23/2019,Peterson,Control,DB1,Tena,51,,0,21.46,3.6,2.94,48.02,19.09,4.89,0,0,0,
5/23/2019,Peterson,Control,DB1,Tena,4,,0.66,20.94,4.46,2.6,46.61,20.44,4.29,0,0,0,
5/23/2019,Peterson,MD,DB1,Tena,55,,0.4,24.67,6.47,2.12,49.52,12.99,3.83,0,0,0,
5/23/2019,Biolure,Control,Herman402,Tena,4,,0,23.57,3.35,2.56,40.9,26.12,3.12,0,0,0,
5/23/2019,Biolure,Control,Herman402,Tena,53,,0,17.92,5.96,6.15,39.23,23.01,7.7,0,0,0,
5/23/2019,Peterson,Control,Herman402,Tena,3,,0.32,25.1,6.44,2.22,47.4,12.82,5.12,0.12,0.13,0.34,
5/23/2019,Biolure,Control,HermanF2,Conadira,3,,0.34,23.05,3.98,1.81,43.76,22.69,4.17,0.21,0,0,
5/23/2019,Biolure,Control,HermanF2,Conadira,3,,0.13,20.28,1.98,2.02,36.74,33.78,4.49,0,0.09,0.12,
5/23/2019,Peterson,Control,HermanF2,Conadira,55,,0.59,27.6,8.79,2.2,54.33,2.64,3.68,0.2,0,0,
5/23/2019,Peterson,MD,HermanF2,Conadira,55,,0,27.56,16.42,2.88,46.75,3.78,2.77,0,0,0,
5/23/2019,Peterson,MD,HermanF2,Conadira,55,,0,19.85,8,4.01,52.46,12.37,3.31,0,0,0,
5/23/2019,Peterson,MD,HermanF2,Conadira,55,,0.26,20.53,3.7,3,44.03,20.56,7.02,0,0.1,0.26,
5/23/2019,Peterson,MD,HermanF2,Conadira,55,,0,14.89,3.39,2.92,57.38,21.1,3.17,0,0.24,0,
5/23/2019,Peterson,MD,HermanF2,Conadira,1,,0,19.7,7.08,3.87,48.36,17.35,3.64,0,0,0,
5/23/2019,Biolure,Control,HermanF2,Conadira,53,,0.15,16.92,3.72,4.91,42.17,19.67,10.56,0.33,0.29,1.38,
5/23/2019,Biolure,Control,HermanF2,Conadira,53,,0,11.85,8.67,9.34,33.41,16.35,20.38,0,0,0,
5/23/2019,Peterson,Control,HermanF2,Conadira,53,,0.66,18.38,5.31,5.87,42.32,18.18,7.8,0.42,0,1.09,
5/23/2019,Peterson,MD,HermanF2,Conadira,4,,0,17.54,4.71,8.93,34.33,19.03,12.29,0.96,0,2.21,
5/23/2019,Peterson,MD,HermanF2,Conadira,53,,0.24,19.34,3.85,3.17,44.54,24.16,4.46,0.23,0,0,
5/23/2019,Biolure,Control,HermanF2,Conadira,51,,0,19.6,5.15,3.43,46.79,22.62,2.41,0,0,0,
5/23/2019,Biolure,Control,DB2,BM,55,,0,20.11,9.29,4.38,50.93,9.74,5.54,0,0,0,
5/23/2019,Peterson,Control,DB2,BM,55,,0.5,19.88,5.97,3.05,43.73,21.48,4.55,0.25,0.23,0.36,
5/23/2019,Peterson,Control,DB2,BM,55,,0.43,24.7,10.04,1.94,48.07,10.72,3.63,0.14,0.13,0.22,
5/23/2019,Peterson,MD,DB3,BM,52,,0.34,23.85,4.17,2.84,45.4,20.11,3.21,0.08,0,0,
5/23/2019,Peterson,MD,DB3,BM,4,,0.49,23.89,5.21,2.4,40.44,20.87,6.13,0.17,0.07,0.33,
5/23/2019,Peterson,Control,DB3,BM,54,,0,24.28,6,5.39,35.87,21.01,7.45,0,0,0,
5/23/2019,Biolure,Control,DB3,BM,54,,0.23,18.83,4.02,6.26,43.54,17.89,8.31,0,0,0.92,
6/6/2019,Peterson,MD,HermanF2,Conadira,3,,0.26,19.14,5.48,2.11,39.4,29.67,3.95,0,0,0,
6/6/2019,Biolure,Control,Herman402,Tena,1,,0,16.44,2.36,4.7,46.07,27.94,4.08,0,0,0,
6/6/2019,Biolure,Control,Herman403,Tena,1,,0,14.36,1.4,2.45,49.91,29.63,2.26,0,0,0,
6/6/2019,Peterson,Control,HermanF2,Conadira,55,,0,20.87,7.5,5.68,45.61,17.21,3.13,0,0,0,
6/6/2019,Peterson,MD,HermanF2,Conadira,2,,0.12,20.83,4.61,2.15,42.6,22.71,6.59,0,0,0.39,
6/6/2019,Peterson,Control,HermanF2,Conadira,53,,0.13,19.68,7.67,3.37,53.77,10.83,3.62,0,0,0.94,
6/6/2019,Peterson,MD,HermanF2,Conadira,52,,0,17.09,5.15,16.09,43,12.99,5.7,0,0,0,
6/6/2019,Peterson,Control,HermanF2,Conadira,4,,0,15.87,4.56,23.06,38.35,13.43,4.73,0,0,0,
6/6/2019,Peterson,MD,HermanF2,Conadira,4,,0.16,26.13,9.26,1.6,50.94,9.03,2.67,0,0,0.21,
6/6/2019,Peterson,Control,HermanF2,Conadira,55,,0,26.46,8.63,5.16,49.91,7.81,2.03,0,0,0,
6/6/2019,Peterson,MD,HermanF2,Conadira,52,,0,18.88,9.71,5.06,50.05,11.13,4.24,0,0,0.94,
6/6/2019,Peterson,MD,HermanF2,Conadira,52,,0,17.81,1.29,11.87,44.14,21.07,3.82,0,0,0,
6/6/2019,Peterson,Control,HermanF2,Conadira,4,,0,18.03,5.09,22.51,36.14,13.46,4.76,0,0,0,
6/6/2019,Biolure,Control,HermanF2,Conadira,4,,0,26.56,13.18,5.11,43.19,4.76,7.2,0,0,0,
6/6/2019,Peterson,MD,HermanF2,Conadira,4,,0.19,26.75,9.22,1.71,50.49,8.77,2.6,0,0,0.27,
6/6/2019,Peterson,MD,HermanF2,Conadira,51,,0,22.1,5.43,4.11,47.79,17.33,3.23,0,0,0,
6/6/2019,Biolure,Control,HermanF2,Conadira,2,,0,17.56,2.03,7.63,38.7,21.11,11.65,0,0,1.31,
6/6/2019,Peterson,MD,HermanF2,Conadira,51,,0,21.85,5.56,3.83,47.63,17.47,3.66,0,0,0,
6/6/2019,Peterson,MD,HermanF2,Conadira,4,,0,22.2,10.82,4.65,51.83,7.44,3.06,0,0,0,
6/6/2019,Peterson,Control,HermanF2,Conadira,53,,0.1,22.18,3.62,2.16,48.59,21.39,1.66,0,0,0.3,
8/15/2019,,,,,,114,0.32,32.10,8.42,3.46,50.40,4.66,0.65,0,0,0,
8/15/2019,,,,,,114,0.49,30.48,5.81,3.82,48.41,9.21,1.79,0,0,0,
8/15/2019,,,,,,10,0.29,31.38,9.21,3.08,49.47,4.46,2.12,0,0,0,
8/15/2019,,,,,,119,0.07,16.10,0.67,3.27,56.65,22.01,1.22,0,0,0,
8/15/2019,,,,,,90,0.10,32.57,8.22,5.17,47.20,5.39,1.35,0,0,0,
8/15/2019,,,,,,90,0.72,29.99,7.78,5.18,48.78,6.24,1.32,0,0,0,
8/15/2019,,,,,,90,0.00,29.45,6.98,4.07,47.16,6.59,5.77,0,0,0,
8/15/2019,,,,,,103,1.41,33.90,8.17,4.05,48.26,2.74,1.46,0,0,0,
8/15/2019,,,,,,96,1.21,31.14,5.58,4.01,46.12,9.82,2.12,0,0,0,
8/15/2019,,,,,,38,1.31,23.15,1.91,2.90,47.30,22.54,0.9,0,0,0,
8/15/2019,,,,,,5,0.00,33.31,5.59,3.41,50.58,6.56,0.53,0,0,0,
8/15/2019,,,,,,5,0.34,31.04,12.23,3.71,48.43,3.65,0.6,0,0,0,
8/15/2019,,,,,,5,0.00,36.14,9.74,3.65,46.56,3.24,0.67,0,0,0,
8/15/2019,,,,,,29,0.61,28.73,7.16,3.14,49.89,7.87,2.59,0,0,0,
8/15/2019,,,,,,3,0.00,31.40,6.53,4.11,49.79,6.2,1.97,0,0,0,
8/15/2019,,,,,,3,0.43,31.55,10.80,3.60,51.57,1.74,0.31,0,0,0,
8/15/2019,,,,,,27,0.51,34.12,10.25,2.82,49.07,2.21,1.02,0,0,0,
8/15/2019,,,,,,61,0.37,32.77,5.98,3.33,49.57,7.12,0.88,0,0,0,
9/3/2019,,,,,,171,0.41,29.32,9.93,3.81,51.34,3.24,1.96,0,0,0,
9/3/2019,,,,,,137,0.00,19.69,4.77,3.47,43.00,28.08,1,0,0,0,
9/3/2019,,,,,,155,0.36,32.50,7.25,2.98,50.09,5.84,0.99,0,0,0,
9/3/2019,,,,,,169,0.47,34.40,9.48,2.62,47.71,3.84,1.48,0,0,0,
9/3/2019,,,,,,169,0.41,34.46,8.69,3.55,50.29,2.16,0.43,0,0,0,
9/3/2019,,,,,,160,0.45,35.18,9.00,3.20,49.98,1.56,0.63,0,0,0,
9/3/2019,,,,,,140,0.27,19.78,1.15,2.45,46.16,28.44,1.59,0.18,0,0,
9/3/2019,,,,,,140,0.00,22.50,0.00,6.63,43.60,25.76,1.51,0,0,0,
9/3/2019,,,,,,145,0.00,15.64,0.00,4.80,54.02,22.16,3.38,0,0,0,
9/3/2019,,,,,,176,0.27,34.20,5.91,3.25,47.27,8.29,0.82,0,0,0,
9/3/2019,,,,,,176,0.00,20.03,0.00,4.75,49.63,24,1.58,0,0,0,
9/3/2019,,,,,,175,0.39,30.24,7.08,2.94,46.97,11.16,1.23,0,0,0,
9/3/2019,,,,,,146,0.00,26.96,13.35,4.71,44.55,6.5,3.94,0,0,0,
9/3/2019,,,,,,146,0.50,32.19,9.54,3.14,46.63,6.7,1.31,0,0,0,
9/3/2019,,,,,,168,0.00,28.42,7.17,4.76,47.66,10.48,1.52,0,0,0,
9/3/2019,,,,,,168,0.00,18.32,0.00,5.27,43.94,26.39,6.08,0,0,0,
9/3/2019,,,,,,166,0.46,36.18,10.69,3.81,43.42,4.1,1.33,0,0,0,
9/3/2019,,,,,,166,0.50,26.46,5.34,3.81,39.51,22.15,2.23,0,0,0,
