"Host","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10"
"Almond",0.162,14.192,0.472,5.985,48.372,29.147,1.672,0,0,0
"Almond",0.245,23.799,1.092,4.577,43.573,22.443,4.163,0.115,0,0
"Almond",0.247,19.788,1.24,5.749,43.677,25.334,3.677,0.186,0.102,0
"Almond",0.274,15.674,0.583,7.048,47.937,26.002,2.217,0.265,0,0
"Almond",0.211,20.094,0.669,4.8,43.325,26.312,4.279,0.148,0.058,0.104
"Almond",0.222,19.761,0.944,6.39,42.766,23.998,5.258,0.205,0,0.458
"Almond",0.257,20.914,1.495,4.704,42.673,22.609,6.791,0.116,0,0.441
"Almond",0.258,18.488,1.221,5.44,45.089,22.296,6.439,0.202,0,0.566
"Almond",0.239,20.045,1.192,4.637,43.686,23.545,5.854,0.196,0.08,0.526
"Almond",0.24,22.992,1.142,6.084,41.89,20.648,6.316,0.186,0,0.503
"Almond",0.264,23.109,1.247,4.584,39.434,24.702,6.442,0.218,0,0.397
"Almond",0.241,22.675,1.337,4.96,41.202,23.006,5.86,0.197,0,0.521
"Almond",0.227,21.94,1.491,4.004,42.913,23.303,5.429,0.14,0,0.553
"Almond",0.206,21.056,1.391,4.08,41.366,22.84,7.231,0.155,0,0.675
"Almond",0.19,21.773,1.276,5.002,43.775,21.821,5.717,0,0,0.446
"Almond",0.186,21.625,1.157,4.797,43.551,22.79,5.443,0,0,0.451
"Almond",0.247,20.231,1.532,4.686,40.867,25.498,6.274,0.189,0,0.53
"Almond",0.169,19.767,1.306,4.568,42.555,24.811,6.208,0.13,0,0.486
"Almond",0.2,19.173,1.621,4.779,41.227,24.468,7.585,0.252,0,0.695
"Almond",0.195,19.269,1.592,4.569,41.789,24.575,7.169,0.229,0,0.613
"Almond",0.177,18.562,1.467,4.335,44.759,23.455,6.84,0,0,0.404
"Almond",0.221,18.157,1.641,4.561,45.361,22.697,6.673,0.108,0,0.509
"Almond",0.221,20.937,1.488,4.525,43.329,22.352,6.513,0.131,0,0.505
"Almond",0.225,21.139,1.683,4.649,43.253,22.581,5.891,0.136,0,0.444
"Almond",0.192,18.798,1.694,4.201,41.682,26.133,6.57,0.167,0,0.563
"Almond",0.207,25.11,2.97,2.96,48.28,13.46,6.33,0,0,0.684
"Almond",0.216,16.74,1.76,3.55,49.13,22.46,5.46,0.151,0.061,0.473
"Almond",0.184,19.31,2.07,3.59,51.85,17.53,4.88,0.097,0,0.489
"Almond",0.271,27.73,1.37,2.24,47.32,12.03,8.56,0.103,0,0.366
"Almond",0.278,23.62,2.84,3.61,47.6,15.65,5.85,0.084,0,0.475
"Almond",0.458,30.51,2.04,1.66,48.19,8.33,8.26,0.057,0,0.501
"Almond",0.329,29.17,1.75,2.8,47.16,10.74,7.58,0.105,0,0.376
"Almond",0.279,28.01,1.39,2.53,46.23,12.82,8.34,0.111,0,0.295
"Almond",0.288,26.42,1.59,3.38,49.2,10.92,7.59,0.132,0,0.477
"Almond",0.499,30.77,1.5,3.08,47.06,10.28,6.33,0.113,0,0.373
"Almond",0.225,22.6,2.23,4.2,44.31,19.75,6.05,0.147,0,0.489
"Almond",0.273,20.86,1.45,4.28,46.29,19.56,6.7,0.137,0,0.448
"Almond",0.302,27.09,2.59,4.37,44.22,15.22,5.49,0.182,0,0.531
"Almond",0.314,28.09,1.56,2.27,48.99,11.1,7.3,0.097,0,0.284
"Almond",0.34,28.99,2,3.55,44.4,13.77,6.55,0.15,0,0.26
"Almond",0.293,21.34,2.19,3.42,50.51,14.97,6.62,0.058,0,0.594
"Almond",0.328,24.87,1.82,3.06,46.16,16.42,6.93,0.124,0,0.294
"Almond",0.232,23.72,1.83,4,52.33,13.72,3.68,0.187,0,0.3
"Almond",0.469,29.96,2.18,3.25,45.57,9.98,7.89,0.176,0,0.543
"Almond",0.305,24.15,2,3.46,50.53,15.77,3.5,0.09,0,0.204
"Fig",0.35,21.32,5.38,3.71,42.54,19.59,6.74,0.2,0.175,0
"Fig",0.336,20.86,9.19,2.3,43.97,17.68,5.36,0.123,0.169,0
"Fig",0.39,21.08,12.63,3.28,46.22,11.39,4.81,0.202,0,0
"Fig",0.51,22.44,13.19,2.24,46.23,11.15,4.08,0.167,0,0
"Fig",0.41,17.34,4.73,3.14,48.34,20.61,5.18,0.264,0,0
"Fig",0.381,17.23,4.29,3.08,48.29,21.18,5.21,0.339,0,0
"Fig",0.273,20.81,13.05,3.42,47.5,9.15,5.36,0.301,0.137,0
"Fig",0.38,21.93,13.4,1.97,47.78,10,4.37,0.093,0.088,0
"Fig",0.439,23.14,8.57,2.53,45.02,15.19,4.84,0.105,0.178,0
"Fig",0.47,21.22,10.69,3.03,50.27,10.31,3.6,0.203,0.197,0
"Fig",0.252,24.5,11.9,1.91,46.78,10.54,3.95,0.069,0.088,0
"Fig",0.327,22.97,11.56,2.47,49.94,7.88,4.59,0.136,0.13,0
"Fig",0.427,23.55,10.81,2.22,48.6,10.22,4.02,0.073,0.081,0
"Fig",0.365,20.09,8.71,2.39,45.23,18.15,4.81,0.122,0.139,0
"Fig",0.346,21.8,8.89,2.55,45,15.98,5.23,0.11,0.097,0
"Fig",0.369,20.69,4.89,1.79,40.8,25.25,6.06,0.081,0.078,0
"Fig",0.424,22.39,3.35,2.34,46.58,18.95,5.73,0.159,0.082,0
"Fig",0.328,18.68,2.83,3.43,47.94,23,3.6,0.121,0.087,0
"Fig",0.47,20.4,5.29,3.02,40.42,23.29,6.79,0.164,0.153,0
"Fig",0.183,25.68,14,1.57,52.5,4.05,3,0.095,0.076,0
"Fig",0,25.68,5.19,1.89,45.98,15.77,5.48,0,0,0
"Fig",0.4,21.64,5.9,1.74,44.46,19.51,5.92,0.112,0.088,0.23
"Fig",0.419,22.24,7.19,2.39,45.06,17.56,4.88,0.192,0.063,0
"Fig",0.415,26.64,6.79,1.92,41.54,16.83,5.52,0.055,0.073,0.215
"Fig",0.374,24.3,3.54,1.77,41.35,23.86,4.36,0.13,0.098,0.222
"Fig",0.342,24.95,7.97,2.36,46.01,13.67,4.07,0.219,0,0.411
"Fig",0.258,25.83,4.61,1.87,36.86,23.93,6.2,0.068,0,0.371
"Fig",0.421,24.77,5.78,2.34,42,18.13,6.18,0.125,0.078,0.185
"Fig",0.365,24.79,7.98,1.83,47.63,12.59,4.49,0.065,0.12,0.154
"Fig",0.337,24.55,4.21,1.75,45.11,18.15,5.58,0.075,0.101,0.143
"Fig",0.387,24.3,14.02,1.96,48.57,8.5,2.01,0.06,0.056,0.137
"Fig",0.358,24.52,8.33,1.77,47.94,13.21,3.37,0.138,0.121,0.244
"Fig",0.467,23.33,5.75,2.42,41.74,20.49,5.38,0.109,0,0.306
"Fig",0.392,27.61,14.27,1.47,49.03,3.92,2.92,0.079,0.042,0.282
"Fig",0.335,31.65,10.99,1.49,50.35,1.59,3.1,0.064,0.048,0.401
"Fig",0.389,26.99,6.07,1.3,48.79,12.16,4.31,0,0,0
"Fig",0.338,25.25,12.38,1.57,49.04,8.83,2.26,0.087,0.045,0.199
"Fig",0.344,22.78,11.3,2.47,46.39,10.26,5.75,0.117,0.072,0.535
"Fig",0.315,26.2,6.13,1.41,42.34,18.66,4.78,0,0,0.181
"Fig",0.441,23.35,4.92,1.96,45.24,17.78,5.92,0.098,0.108,0.185
"Fig",0.49,35.85,9.69,2.66,46.09,4.56,0.65,0,0,0
"Fig",0.42,36.99,9.41,2.52,48.52,1.92,0.22,0,0,0
