"StdyWk1","StdyWk2","StdyWk3","StdyWk4","StdyWk5","StdyWk6","StdyWk7","StdyWk8","StdyWk9","StdyWk10","StdyWk11","StdyWk12","StdyWk13","StdyWk14","StdyWk15","StdyWk16","StdyWk17","StdyWk18","StdyWk19","StdyWk20","StdyWk21","StdyWk22"
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1
NA,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0
NA,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2,0,0,0,5,0,2
NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0
NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1
NA,NA,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
NA,NA,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NA,NA,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0
NA,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
NA,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0
NA,0,1,2,0,0,0,0,1,0,0,1,1,1,1,0,1,3,0,2,0,0
NA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,3,0,1
NA,3,9,1,1,0,0,0,0,0,1,0,0,0,7,0,6,1,13,0,0,12
NA,3,4,2,0,0,0,0,0,2,0,0,0,0,3,2,3,30,14,0,0,0
NA,0,5,0,0,0,0,2,0,0,0,0,0,0,1,1,3,15,7,0,0,0
NA,8,31,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,17,0,2,0
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,2,0,3,0
NA,10,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
NA,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,1,10,2,1,0,0,1,0,0,3,0,0,0,1,0,10,15,6,7,1,7
NA,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,2,5,16,4,2,1
NA,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,16,20,2,2,11
NA,2,9,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,4,5,6
NA,NA,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,2,0,0
NA,NA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
NA,NA,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1
NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0
NA,NA,5,5,0,0,0,0,0,0,0,1,1,1,0,0,3,35,42,8,6,4
NA,NA,7,1,0,0,0,0,0,0,0,0,0,1,0,0,2,9,30,4,0,0
NA,NA,0,1,0,0,1,0,0,2,1,1,0,0,0,0,3,19,8,8,12,0
NA,NA,9,0,1,0,0,0,0,1,0,0,1,1,0,0,2,0,60,5,6,0
NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
NA,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
NA,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
NA,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
NA,1,0,1,1,0,0,0,0,1,2,0,0,0,1,0,0,2,3,0,0,1
NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
