"plan_opt","code","prem20_total","prem21_total","prem21_gov","prem21_empl","prem21_increase","prem20_monthly_total","prem21_monthly_total","prem21_monthly_gov","prem21_monthly_empl","prem21_monthly_increase"
"Alabama Aetna Advantage - Advantage Self","Z24","214.08",230.78,173.09,57.69,"4.17","463.84",500.02,375.02,125,"9.0399999999999991"
"Alabama Aetna Advantage - Advantage Self & Family","Z25","567.30999999999995",611.54,458.66,152.88,"11.05","1229.17",1325,993.75,331.25,"23.96"
"Alabama Aetna Advantage - Advantage Self Plus One","Z26","470.97",507.7,380.78,126.92,"9.18","1020.44",1100.02,825.02,275,"19.89"
"Alabama Aetna Direct - CDHP Self","N61","282.76",284.23,213.17,71.06,"0.37","612.65",615.83,461.87,153.96,"0.8"
"Alabama Aetna Direct - CDHP Self & Family","N62","713.08",716.8,537.6,179.2,"0.93","1545.01",1553.07,1164.8,388.27,"2.02"
"Alabama Aetna Direct - CDHP Self Plus One","N63","620.1",623.33,467.5,155.83,"0.81","1343.55",1350.55,1012.91,337.64,"1.75"
"Alabama Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self","F51","382.72",393.11,241.58,151.53,"4.58","829.23",851.74,523.42,328.32,"9.93"
"Alabama Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self & Family","F52","872.64",896.32,562.25,334.07,"7.9","1890.72",1942.03,1218.21,723.82,"17.12"
"Alabama Aetna HealthFund CDHP and Aetna Value Plan - CDHP Self Plus One","F53","864",887.45,517.46,369.99,"10.11","1872",1922.81,1121.16,801.65,"21.91"
"Alabama Aetna HealthFund CDHP and Aetna Value Plan - Value Self","F54","378.45",379.3,241.58,137.72,"-4.96","819.98",821.82,523.42,298.4,"-10.74"
"Alabama Aetna HealthFund CDHP and Aetna Value Plan - Value Self & Family","F55","866.59",868.56,562.25,306.31,"-13.81","1877.61",1881.88,1218.21,663.67,"-29.92"
"Alabama Aetna HealthFund CDHP and Aetna Value Plan - Value Self Plus One","F56","849.59",851.52,517.46,334.06,"-11.41","1840.78",1844.96,1121.16,723.8,"-24.72"
"Alabama Aetna HealthFund HDHP - HDHP Self","224","336.37",362.78,241.58,121.2,"20.6","728.8",786.02,523.42,262.6,"44.64"
"Alabama Aetna HealthFund HDHP - HDHP Self & Family","225","741.97",800.23,562.25,237.98,"42.48","1607.6",1733.83,1218.21,515.62,"92.04"
"Alabama Aetna HealthFund HDHP - HDHP Self Plus One","226","727.43",784.56,517.46,267.1,"43.79","1576.1",1699.88,1121.16,578.72,"94.88"
"Alabama UnitedHealthcare Insurance Company, Inc. - Choice Plus Primary - High Self","AS1","242.68",276.68,207.51,69.17,"8.5","525.80999999999995",599.47,449.6,149.87,"18.420000000000002"
