StdyWk,Hwy132,Toomes,Miller
1,2020-04-22,2020-04-25,2020-04-23
2,2020-04-30,2020-05-02,2020-04-28
3,2020-05-08,2020-05-09,2020-05-08
4,2020-05-15,2020-05-15,2020-05-15
5,2020-05-22,2020-05-23,2020-05-23
6,2020-05-29,2020-05-30,2020-05-30
7,2020-06-05,2020-06-06,2020-06-06
8,2020-06-12,2020-06-13,2020-06-12
9,2020-06-19,2020-06-20,2020-06-20
10,2020-06-26,2020-06-26,2020-06-26
11,2020-07-03,2020-07-03,2020-07-06
12,2020-07-10,2020-07-12,2020-07-11
13,2020-07-18,2020-07-18,2020-07-17
14,2020-07-24,2020-07-25,2020-07-24
15,2020-08-01,2020-08-01,2020-08-01
16,2020-08-07,2020-08-08,2020-08-11
17,2020-08-13,2020-08-14,2020-08-15
18,2020-08-21,2020-08-24,2020-08-22
19,2020-08-27,2020-09-01,
20,2020-09-05,2020-09-06,2020-09-06
21,2020-09-10,2020-09-10,2020-09-13
22,2020-09-19,2020-09-20,2020-09-18
