"Site","MdTrt","lure","Rep","WkName","Count"
"Hwy132","meso","NOWL2L",1,"StdyWk1",NA
"Hwy132","meso","NOWL2L",1,"StdyWk2",13
"Hwy132","meso","NOWL2L",1,"StdyWk3",0
"Hwy132","meso","NOWL2L",1,"StdyWk4",0
"Hwy132","meso","NOWL2L",1,"StdyWk5",0
"Hwy132","meso","NOWL2L",1,"StdyWk6",0
"Hwy132","meso","NOWL2L",1,"StdyWk7",0
"Hwy132","meso","NOWL2L",1,"StdyWk8",0
"Hwy132","meso","NOWL2L",1,"StdyWk9",0
"Hwy132","meso","NOWL2L",1,"StdyWk10",0
"Hwy132","meso","NOWL2L",1,"StdyWk11",1
"Hwy132","meso","NOWL2L",1,"StdyWk12",0
"Hwy132","meso","NOWL2L",1,"StdyWk13",0
"Hwy132","meso","NOWL2L",1,"StdyWk14",0
"Hwy132","meso","NOWL2L",1,"StdyWk15",0
"Hwy132","meso","NOWL2L",1,"StdyWk16",0
"Hwy132","meso","NOWL2L",1,"StdyWk17",0
"Hwy132","meso","NOWL2L",1,"StdyWk18",1
"Hwy132","meso","NOWL2L",1,"StdyWk19",0
"Hwy132","meso","NOWL2L",1,"StdyWk20",0
"Hwy132","meso","NOWL2L",1,"StdyWk21",0
"Hwy132","meso","NOWL2L",1,"StdyWk22",0
"Hwy132","meso","NOWL2L",2,"StdyWk1",NA
"Hwy132","meso","NOWL2L",2,"StdyWk2",22
"Hwy132","meso","NOWL2L",2,"StdyWk3",0
"Hwy132","meso","NOWL2L",2,"StdyWk4",0
"Hwy132","meso","NOWL2L",2,"StdyWk5",0
"Hwy132","meso","NOWL2L",2,"StdyWk6",0
"Hwy132","meso","NOWL2L",2,"StdyWk7",0
"Hwy132","meso","NOWL2L",2,"StdyWk8",0
"Hwy132","meso","NOWL2L",2,"StdyWk9",0
"Hwy132","meso","NOWL2L",2,"StdyWk10",0
"Hwy132","meso","NOWL2L",2,"StdyWk11",0
"Hwy132","meso","NOWL2L",2,"StdyWk12",0
"Hwy132","meso","NOWL2L",2,"StdyWk13",0
"Hwy132","meso","NOWL2L",2,"StdyWk14",0
"Hwy132","meso","NOWL2L",2,"StdyWk15",0
"Hwy132","meso","NOWL2L",2,"StdyWk16",0
"Hwy132","meso","NOWL2L",2,"StdyWk17",0
"Hwy132","meso","NOWL2L",2,"StdyWk18",1
"Hwy132","meso","NOWL2L",2,"StdyWk19",1
"Hwy132","meso","NOWL2L",2,"StdyWk20",0
"Hwy132","meso","NOWL2L",2,"StdyWk21",0
"Hwy132","meso","NOWL2L",2,"StdyWk22",0
"Hwy132","meso","NOWL2L",3,"StdyWk1",NA
"Hwy132","meso","NOWL2L",3,"StdyWk2",12
"Hwy132","meso","NOWL2L",3,"StdyWk3",0
"Hwy132","meso","NOWL2L",3,"StdyWk4",0
"Hwy132","meso","NOWL2L",3,"StdyWk5",0
"Hwy132","meso","NOWL2L",3,"StdyWk6",0
"Hwy132","meso","NOWL2L",3,"StdyWk7",0
"Hwy132","meso","NOWL2L",3,"StdyWk8",0
"Hwy132","meso","NOWL2L",3,"StdyWk9",0
